timestamp,world_index,world_index_corrected,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_covariance_0,angular_covariance_1,angular_covariance_2,angular_covariance_3,angular_covariance_4,angular_covariance_5,angular_covariance_6,angular_covariance_7,angular_covariance_8,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,linear_covariance_0,linear_covariance_1,linear_covariance_2,linear_covariance_3,linear_covariance_4,linear_covariance_5,linear_covariance_6,linear_covariance_7,linear_covariance_8
0.011393200,0,0,0.71376594,-0.67586200,0.01818901,0.18280563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.125000,-0.875000,-1.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.280762,-0.984375,0.092773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.026778963,0,0,0.71356224,-0.67608664,0.01788331,0.18280035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.500000,-0.875000,-0.437500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.271973,-0.981934,0.093750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049391842,1,1,0.71351945,-0.67610393,0.01763962,0.18292710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.125000,-1.187500,0.437500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.267578,-0.977539,0.096680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.071453570,2,2,0.71354849,-0.67601258,0.01751676,0.18316303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.500000,-1.312500,0.750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.273926,-0.977539,0.098145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.086801492,2,2,0.71350006,-0.67596349,0.01751707,0.18353248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.437500,-1.375000,1.250000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.280273,-0.974121,0.090820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.109009264,3,3,0.71354890,-0.67582986,0.01751677,0.18383451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437500,-1.375000,0.625000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.282715,-0.975586,0.094238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.131465843,4,4,0.71344967,-0.67585150,0.01745629,0.18414558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.687500,-1.187500,1.500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.274414,-0.969238,0.086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.154227143,4,4,0.71326076,-0.67596808,0.01745615,0.18444926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.000000,-1.125000,1.875000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.273438,-0.977539,0.085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.169011320,5,5,0.71332397,-0.67584806,0.01757828,0.18463293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000,-0.562500,1.812500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.267578,-0.960938,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.194532832,5,5,0.71319854,-0.67590592,0.01788337,0.18487620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375000,0.312500,2.312500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.276367,-0.971191,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.214545538,6,6,0.71288870,-0.67608460,0.01843257,0.18536327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.687500,0.000000,3.812500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.290039,-0.970703,0.072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.229016451,6,6,0.71258539,-0.67633051,0.01867676,0.18560789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.625000,0.500000,2.312500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.280273,-0.969727,0.083984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.251667140,7,7,0.71217384,-0.67677267,0.01892131,0.18555095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.250000,1.750000,1.812500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.276855,-0.984863,0.083496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
