timestamp,world_index,world_index_corrected,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
0.144619,2498,2542,1.000000,0.239303,0.563500,116.229192,3d c++,153.153696,209.520092,50.977351,116.229192,20.179819,4.906533,0.952604,121.000000,1.393259,2.021580,34.012992,12.000000,-7.137489,-1.325951,26.265711,-0.710896,-0.278961,-0.645607,2.453266,1.288084,-2.404288,345.396789,276.850031,437.479892,437.479892,90.000000
0.150913,2498,2542,1.000000,0.239432,0.563481,116.445216,3d c++,153.236417,209.529225,51.146630,116.445216,20.185399,4.914628,0.952624,121.000000,1.393259,2.021580,34.012992,12.000000,-7.132871,-1.325456,26.260415,-0.710511,-0.278920,-0.646048,2.457314,1.288127,-2.403678,345.396789,276.850031,437.479892,437.479892,90.000000
0.166883,2498,2542,1.000000,0.239358,0.563362,116.860474,3d c++,153.189414,209.586240,51.292277,116.860474,20.166632,4.932540,0.952660,121.000000,1.393259,2.021580,34.012992,12.000000,-7.136036,-1.323388,26.263004,-0.710775,-0.278747,-0.645832,2.466270,1.288307,-2.404029,345.396789,276.850031,437.479892,437.479892,90.000000
0.171314,2498,2542,1.000000,0.239524,0.563433,116.643582,3d c++,153.295223,209.552032,51.291044,116.643582,20.185193,4.922201,0.952688,121.000000,1.393259,2.021580,34.012992,12.000000,-7.129562,-1.324421,26.256331,-0.710235,-0.278833,-0.646388,2.461100,1.288217,-2.403223,345.396789,276.850031,437.479892,437.479892,90.000000
0.176771,2498,2542,1.000000,0.239331,0.563071,115.915872,3d c++,153.172063,209.725816,50.936442,115.915872,20.128123,4.892010,0.952714,121.000000,1.393259,2.021580,34.012992,12.000000,-7.134461,-1.316659,26.258371,-0.710643,-0.278187,-0.646218,2.446005,1.288891,-2.403640,345.396789,276.850031,437.479892,437.479892,90.000000
0.182991,2498,2542,1.000000,0.239389,0.563261,116.646474,3d c++,153.209268,209.634611,51.239892,116.646474,20.155807,4.922980,0.952731,121.000000,1.393259,2.021580,34.012992,12.000000,-7.134146,-1.321058,26.259920,-0.710617,-0.278553,-0.646089,2.461490,1.288509,-2.403721,345.396789,276.850031,437.479892,437.479892,90.000000
0.198365,2498,2542,1.000000,0.239485,0.563154,116.452121,3d c++,153.270260,209.685858,51.234899,116.452121,20.148103,4.913734,0.952753,121.000000,1.393259,2.021580,34.012992,12.000000,-7.129818,-1.318496,26.254059,-0.710256,-0.278340,-0.646578,2.456867,1.288731,-2.403092,345.396789,276.850031,437.479892,437.479892,90.000000
0.202495,2498,2542,1.000000,0.239559,0.563232,116.168886,3d c++,153.317675,209.648718,51.150074,116.168886,20.161895,4.901325,0.952771,121.000000,1.393259,2.021580,34.012992,12.000000,-7.126735,-1.319784,26.251228,-0.710000,-0.278447,-0.646814,2.450662,1.288620,-2.402730,345.396789,276.850031,437.479892,437.479892,90.000000
0.206903,2498,2542,1.000000,0.239679,0.563255,116.043949,3d c++,153.394564,209.637402,51.166438,116.043949,20.171917,4.895142,0.952801,121.000000,1.393259,2.021580,34.012992,12.000000,-7.122006,-1.319965,26.246118,-0.709605,-0.278462,-0.647239,2.447571,1.288604,-2.402126,345.396789,276.850031,437.479892,437.479892,90.000000
0.219702,2498,2542,1.000000,0.239973,0.563621,115.930341,3d c++,153.582521,209.461920,51.234393,115.930341,20.234848,4.888886,0.952823,121.000000,1.393259,2.021580,34.012992,12.000000,-7.111782,-1.327016,26.237957,-0.708753,-0.279050,-0.647920,2.444443,1.287992,-2.401005,345.396789,276.850031,437.479892,437.479892,90.000000
0.232899,2498,2542,1.000000,0.240319,0.563201,115.421296,3d c++,153.804143,209.663526,51.295880,115.421296,20.203080,4.863667,0.952836,121.000000,1.393259,2.021580,34.012992,12.000000,-7.096387,-1.317185,26.216932,-0.707471,-0.278230,-0.649672,2.431833,1.288845,-2.398757,345.396789,276.850031,437.479892,437.479892,90.000000
0.236750,2498,2542,1.000000,0.240932,0.563683,115.112411,3d c++,154.196783,209.432165,51.447673,115.112411,20.299810,4.847003,0.952920,121.000000,1.393259,2.021580,34.012992,12.000000,-7.074115,-1.325940,26.196492,-0.705615,-0.278960,-0.651375,2.423501,1.288085,-2.396144,345.396789,276.850031,437.479892,437.479892,90.000000
0.242901,2498,2542,0.995230,0.242078,0.563801,114.366188,3d c++,154.929836,209.375551,51.772373,114.366188,20.383498,4.807114,0.952975,121.000000,1.393259,2.021580,34.012992,12.000000,-7.030015,-1.325768,26.148915,-0.701940,-0.278946,-0.655340,2.403557,1.288100,-2.390514,345.396789,276.850031,437.479892,437.479892,90.000000
0.257442,2498,2542,0.959444,0.243473,0.561560,115.662923,3d c++,155.822412,210.451001,53.466666,115.662923,20.189035,4.846548,0.952924,121.000000,1.393259,2.021580,34.012992,12.000000,-6.973489,-1.277386,26.068538,-0.697229,-0.274914,-0.662038,2.423274,1.292296,-2.382079,345.396789,276.850031,437.479892,437.479892,90.000000
0.270516,2498,2542,0.990000,0.248844,0.563418,114.118063,3d c++,159.259961,209.559419,55.395516,114.118063,20.755738,4.748281,0.952517,121.000000,1.393259,2.021580,34.012992,12.000000,-6.779860,-1.305841,25.881055,-0.681093,-0.277285,-0.677661,2.374140,1.289829,-2.358720,345.396789,276.850031,437.479892,437.479892,90.000000
0.274931,2498,2542,0.770759,0.254143,0.564265,108.737556,3d c++,162.651754,209.152899,55.338003,108.737556,21.201386,4.492732,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-6.584928,-1.311005,25.691790,-0.664849,-0.277715,-0.693433,2.246366,1.289381,-2.335153,345.396789,276.850031,437.479892,437.479892,90.000000
0.289938,2498,2542,0.252375,0.257688,0.581112,117.794150,3d c++,164.920004,201.066328,58.881030,117.794150,23.597156,4.882156,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-6.522177,-1.659819,25.779332,-0.659620,-0.306783,-0.686138,2.441078,1.258985,-2.336492,345.396789,276.850031,437.479892,437.479892,90.000000
0.293478,2498,2542,0.228686,0.261111,0.585738,118.681039,3d c++,167.111268,198.845774,60.247799,118.681039,24.432717,4.907869,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-6.417707,-1.750006,25.720589,-0.650914,-0.314299,-0.691034,2.453935,1.251078,-2.326307,345.396789,276.850031,437.479892,437.479892,90.000000
0.298925,2498,2542,0.151147,0.267089,0.591641,118.715088,3d c++,170.936877,196.012259,62.161535,118.715088,25.639182,4.886370,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-6.229667,-1.860592,25.597545,-0.635244,-0.323514,-0.701287,2.443185,1.241355,-2.306821,345.396789,276.850031,437.479892,437.479892,90.000000
0.307071,2498,2542,0.028425,0.245711,0.556672,117.483727,3d c++,157.255276,212.797669,56.247032,117.483727,19.707439,4.896540,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-6.880632,-1.173593,25.930073,-0.689491,-0.266264,-0.673577,2.448270,1.301281,-2.367869,345.396789,276.850031,437.479892,437.479892,90.000000
0.318917,2498,2542,0.000000,0.500000,0.500000,0.000000,3d c++,320.000000,240.000000,0.000000,0.000000,90.000000,0.000000,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,345.396789,276.850031,437.479892,437.479892,90.000000
0.327857,2498,2542,0.000000,0.500000,0.500000,0.000000,3d c++,320.000000,240.000000,0.000000,0.000000,90.000000,0.000000,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,345.396789,276.850031,437.479892,437.479892,90.000000
0.334959,2498,2542,0.726318,0.180726,0.301833,68.817757,3d c++,115.664673,335.120369,42.527363,68.817757,83.645027,2.000000,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-6.258363,2.942252,19.045449,0.264474,0.659220,-0.703905,1.000000,2.290577,-1.211391,345.396789,276.850031,437.479892,437.479892,90.000000
0.342919,2498,2542,0.047700,0.320796,0.389656,127.027318,3d c++,205.309540,292.965306,98.987784,127.027318,-4.606955,4.804122,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-4.446120,2.004826,23.529606,-0.486615,-0.001396,-0.873615,2.402061,1.569400,-2.079008,345.396789,276.850031,437.479892,437.479892,90.000000
0.350927,2498,2542,0.041279,0.294045,0.418852,124.928484,3d c++,188.188570,278.950841,89.521490,124.928484,0.869995,4.818758,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-5.197363,1.494210,23.998723,-0.549218,-0.043948,-0.834522,2.409379,1.526835,-2.152861,345.396789,276.850031,437.479892,437.479892,90.000000
0.358939,2498,2542,0.008754,0.297301,0.414194,125.675849,3d c++,190.272581,281.186828,91.125782,125.675849,0.074953,4.834412,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-5.103824,1.577566,23.933768,-0.541424,-0.037001,-0.839935,2.417206,1.533787,-2.143367,345.396789,276.850031,437.479892,437.479892,90.000000
0.366945,2498,2542,0.000000,0.500000,0.500000,0.000000,3d c++,320.000000,240.000000,0.000000,0.000000,90.000000,0.000000,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,345.396789,276.850031,437.479892,437.479892,90.000000
0.375138,2498,2542,0.038926,0.258496,0.444588,120.442055,3d c++,165.437543,266.597562,72.875747,120.442055,4.629615,4.807512,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-6.282167,1.047044,24.840309,-0.639619,-0.081211,-0.764390,2.403756,1.489495,-2.267559,345.396789,276.850031,437.479892,437.479892,90.000000
0.382943,2498,2542,0.056461,0.249028,0.436322,119.737455,3d c++,159.378080,270.565594,68.430331,119.737455,3.301146,4.825984,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-6.587232,1.220142,25.087217,-0.665041,-0.066787,-0.743815,2.412992,1.503960,-2.300339,345.396789,276.850031,437.479892,437.479892,90.000000
0.391549,2498,2542,0.062959,0.250170,0.435155,119.721448,3d c++,160.109030,271.125487,68.972084,119.721448,3.143948,4.818401,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-6.548416,1.241213,25.050804,-0.661806,-0.065031,-0.746849,2.409200,1.505720,-2.295896,345.396789,276.850031,437.479892,437.479892,90.000000
0.408162,2498,2542,0.084831,0.221383,0.416969,114.901710,3d c++,141.685178,279.855115,51.640751,114.901710,0.481625,4.803511,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-7.561626,1.661094,26.033012,-0.746240,-0.030041,-0.664998,2.401756,1.540751,-2.413699,345.396789,276.850031,437.479892,437.479892,90.000000
0.419074,2498,2542,0.101407,0.216762,0.404825,114.323506,3d c++,138.727607,285.683983,48.442767,114.323506,-1.104796,4.815037,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-7.740989,1.922197,26.231242,-0.761187,-0.008282,-0.648479,2.407518,1.562514,-2.435979,345.396789,276.850031,437.479892,437.479892,90.000000
0.421613,2498,2542,0.145945,0.217196,0.410973,114.579299,3d c++,139.005252,282.732950,48.868104,114.579299,-0.304107,4.823031,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-7.725051,1.795309,26.215222,-0.759859,-0.018856,-0.649814,2.411515,1.551939,-2.434101,345.396789,276.850031,437.479892,437.479892,90.000000
0.431040,2498,2542,0.110091,0.223133,0.425090,114.971400,3d c++,142.804975,275.956920,52.669636,114.971400,1.562255,4.795351,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-7.497521,1.492575,25.970966,-0.740898,-0.044084,-0.670169,2.397676,1.526698,-2.406277,345.396789,276.850031,437.479892,437.479892,90.000000
0.436424,2498,2542,0.152181,0.225142,0.440048,115.986566,3d c++,144.091020,268.777130,54.017553,115.986566,3.569265,4.829538,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-7.432240,1.187066,25.925091,-0.735458,-0.069543,-0.673992,2.414769,1.501197,-2.399777,345.396789,276.850031,437.479892,437.479892,90.000000
0.442901,2498,2542,0.066791,0.255038,0.489818,118.824643,3d c++,163.224348,244.887307,68.395680,118.824643,11.129072,4.794989,0.952412,121.000000,1.393259,2.021580,34.012992,12.000000,-6.433463,0.170897,25.106961,-0.652227,-0.154224,-0.742169,2.397495,1.415955,-2.291781,345.396789,276.850031,437.479892,437.479892,90.000000
