timestamp,exec_twist_x,exec_twist_y,exec_twist_z,exec_twist_r,exec_twist_p,exec_twist_yaw,p_goal_0_raw,p_goal_1_raw,p_goal_2_raw,p_goal_0,p_goal_1,p_goal_2
1.114619,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.140355,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.165112,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.190987,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.216622,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.243221,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.268049,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.295827,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.320852,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.345605,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.371614,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.397192,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.425215,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.451057,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.475875,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.505398,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.531597,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.557287,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.584520,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.609670,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.634645,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.661439,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.686872,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.713865,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.740950,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.765206,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.791445,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.817587,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.843314,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.870340,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.896191,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.923059,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.949419,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.971055,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.996971,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.022300,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.048780,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.073554,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.099891,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.125597,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.153194,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.178768,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.202982,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.229656,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.256446,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.284441,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.308416,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.331352,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.357038,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.384156,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.410022,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.434057,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.460422,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.488104,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.514044,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.538774,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.563108,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.588791,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.615139,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.641399,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.665927,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.690701,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.718056,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.743933,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.769482,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.795295,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.821342,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.847345,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.872628,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.899166,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.922997,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.951542,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.978204,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.002825,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.027364,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.052652,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.078385,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.105115,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.131335,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.156433,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.183941,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.208071,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.234627,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.258857,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
3.286119,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
