timestamp,norm_pos_x,norm_pos_y,screen_pos_x,screen_pos_y
9.111814,0.260277,0.422899,333.154755,415.512482
9.147846,0.260292,0.422958,333.174225,415.470398
9.179827,0.260249,0.423142,333.118225,415.337708
9.211835,0.260188,0.423558,333.040253,415.037964
9.247854,0.260181,0.423781,333.031586,414.877563
9.279854,0.260328,0.424177,333.219360,414.592285
9.315884,0.260591,0.424062,333.556030,414.675354
9.347893,0.260655,0.423774,333.638794,414.882416
9.379900,0.260764,0.423501,333.778412,415.079376
9.415946,0.260925,0.422730,333.984222,415.634399
10.655829,0.254923,0.535977,326.302032,334.096893
10.693760,0.253806,0.539658,324.871063,331.445953
10.720707,0.253255,0.543303,324.166321,328.821747
10.755813,0.252683,0.547051,323.434601,326.123535
10.787835,0.252415,0.550854,323.091034,323.385162
10.823808,0.251953,0.554731,322.500000,320.593567
10.855849,0.251615,0.558366,322.067230,317.976257
10.887790,0.251199,0.561806,321.535065,315.500000
10.923820,0.250883,0.565278,321.129822,313.000000
10.955807,0.250615,0.568663,320.786560,310.562561
10.988424,0.250594,0.571839,320.760742,308.275757
11.023814,0.250588,0.575059,320.752625,305.957703
11.055823,0.250957,0.577778,321.225586,304.000000
11.091826,0.251180,0.579666,321.510345,302.640411
11.123800,0.251713,0.580505,322.193237,302.036285
11.155835,0.252010,0.580883,322.572266,301.764069
11.191835,0.252356,0.580605,323.015686,301.964722
11.223834,0.252610,0.580132,323.340179,302.304871
11.257013,0.252755,0.580156,323.525787,302.287811
11.291827,0.252669,0.580233,323.415955,302.232330
11.326364,0.252538,0.580256,323.249237,302.215759
11.361179,0.252453,0.580525,323.139862,302.021820
11.391867,0.252532,0.580465,323.240356,302.065002
11.426050,0.252862,0.580530,323.662994,302.018433
11.459825,0.253014,0.580443,323.858093,302.081085
11.492065,0.253306,0.580543,324.231720,302.009064
11.524278,0.253344,0.580743,324.280823,301.865387
11.559814,0.253237,0.580238,324.143188,302.228790
11.592730,0.253250,0.579717,324.159454,302.603821
11.629761,0.253424,0.579330,324.382324,302.882294
12.867866,0.317226,0.568057,406.049805,310.998627
12.909009,0.318293,0.568056,407.415161,311.000000
12.936331,0.319079,0.568504,408.421234,310.677246
12.967833,0.319822,0.569070,409.371765,310.269745
12.999802,0.320785,0.569734,410.604553,309.791321
13.031782,0.321600,0.570317,411.648499,309.371796
13.067952,0.322667,0.570795,413.014160,309.027588
13.099751,0.323658,0.570855,414.281799,308.984070
13.135782,0.324526,0.570803,415.392914,309.021973
13.167839,0.325141,0.570788,416.180908,309.032410
13.199792,0.325857,0.570134,417.096741,309.503815
13.235809,0.326773,0.569523,418.268829,309.943481
13.267830,0.327728,0.569006,419.491608,310.315887
13.299796,0.328375,0.568694,420.320190,310.540497
13.335817,0.328868,0.568844,420.950714,310.432617
13.367765,0.329244,0.568918,421.432251,310.379059
13.403811,0.329362,0.568774,421.583038,310.482910
13.435815,0.329840,0.568764,422.195068,310.489929
13.467809,0.330125,0.568673,422.560486,310.555695
13.503796,0.330291,0.568729,422.772491,310.515411
13.535767,0.330224,0.568606,422.687073,310.603333
13.571840,0.330011,0.568274,422.414093,310.842743
13.603784,0.329599,0.568160,421.886841,310.924957
13.635783,0.329263,0.567925,421.456604,311.093658
13.671810,0.328801,0.567781,420.865692,311.197937
13.703802,0.328345,0.568033,420.281799,311.015930
13.735749,0.327915,0.568134,419.731171,310.943481
13.771777,0.327614,0.568571,419.346558,310.628906
13.803801,0.327439,0.568796,419.121735,310.466919
13.839808,0.327521,0.568799,419.226837,310.464478
15.779716,0.397168,0.547470,508.375580,325.821320
15.819992,0.398039,0.547037,509.490295,326.133179
15.850046,0.399092,0.546285,510.838257,326.675110
15.883778,0.400048,0.545874,512.061340,326.970947
15.915773,0.401143,0.545799,513.463074,327.024963
15.947711,0.402262,0.545774,514.895813,327.042633
15.983712,0.403498,0.545746,516.477295,327.062897
16.015871,0.404729,0.545642,518.053589,327.137634
16.047740,0.405841,0.545456,519.476624,327.271332
16.083756,0.406985,0.545529,520.941223,327.218994
16.115766,0.408198,0.544913,522.493286,327.662445
16.151748,0.409374,0.544554,523.998779,327.920807
16.183742,0.410165,0.544271,525.011353,328.124908
16.215805,0.410629,0.543924,525.604553,328.374939
16.251967,0.410944,0.543300,526.008362,328.824158
16.283753,0.411119,0.543218,526.232300,328.883118
16.315720,0.411345,0.543016,526.521667,329.028534
16.351804,0.411584,0.542636,526.827271,329.302307
16.383793,0.411857,0.541842,527.176453,329.874115
16.419705,0.412157,0.541539,527.560608,330.092133
16.451754,0.412445,0.541651,527.930115,330.011139
16.483727,0.412648,0.541817,528.188904,329.891785
16.519803,0.412638,0.541874,528.177002,329.850464
16.551739,0.412559,0.541956,528.075134,329.791595
16.583774,0.412531,0.541758,528.039856,329.934326
16.619755,0.412620,0.541184,528.153931,330.347473
16.651719,0.412797,0.540568,528.380371,330.791077
16.687722,0.412917,0.540593,528.533752,330.773041
16.719794,0.412993,0.541158,528.631104,330.366119
16.751733,0.413111,0.541108,528.781860,330.401886
18.429153,0.484513,0.534367,620.177246,335.255707
18.474091,0.485128,0.533532,620.963684,335.856964
18.506830,0.485380,0.533239,621.286560,336.068176
18.536815,0.485674,0.532942,621.663208,336.281677
18.568824,0.485734,0.532740,621.739380,336.427063
18.599282,0.485938,0.532639,622.000000,336.500000
18.631697,0.486212,0.532382,622.351990,336.685181
18.663692,0.486497,0.531922,622.715820,337.016266
18.696117,0.486279,0.531686,622.437134,337.185822
18.731960,0.486032,0.531535,622.120483,337.294495
18.763685,0.485967,0.531246,622.037537,337.503052
18.795724,0.485969,0.531265,622.040771,337.489197
18.831795,0.486045,0.531285,622.137085,337.474823
18.863805,0.486474,0.531599,622.686829,337.248840
18.900302,0.486838,0.531868,623.152039,337.054962
18.931687,0.487593,0.531874,624.119263,337.051056
18.963707,0.488248,0.531980,624.958008,336.974609
18.999766,0.488397,0.531751,625.148438,337.139313
19.032372,0.488386,0.531623,625.134094,337.231689
19.063687,0.488297,0.530851,625.020447,337.787292
19.099715,0.488360,0.530627,625.100281,337.948486
19.131734,0.488388,0.530543,625.137207,338.008850
19.168173,0.488384,0.531547,625.131836,337.286102
19.200411,0.488503,0.531967,625.284180,336.983734
19.231874,0.488908,0.532342,625.802490,336.713684
19.267665,0.489080,0.532560,626.022583,336.556946
19.299698,0.489223,0.533230,626.205017,336.074371
19.331658,0.489227,0.534077,626.210999,335.464722
19.368141,0.489062,0.535021,625.999084,334.785217
19.399701,0.489177,0.536225,626.145996,333.918121
22.354108,0.571997,0.548648,732.156311,324.973389
22.397672,0.573169,0.548679,733.656677,324.951111
22.428351,0.574274,0.548618,735.070618,324.994690
22.455429,0.575368,0.548619,736.470642,324.994476
22.483620,0.576204,0.549104,737.541016,324.645203
22.515667,0.577136,0.549183,738.734375,324.588226
22.551638,0.577996,0.549221,739.834351,324.560608
22.588459,0.578950,0.548848,741.056458,324.829498
22.621812,0.579846,0.548801,742.202881,324.863190
22.652528,0.580465,0.548513,742.994690,325.070648
22.683887,0.581011,0.548038,743.694275,325.412842
22.719666,0.581327,0.547470,744.098022,325.821442
22.751620,0.581573,0.547020,744.413452,326.145294
22.783628,0.581847,0.545875,744.764099,326.969818
22.819659,0.581965,0.545120,744.915039,327.513763
22.851632,0.582004,0.544921,744.965454,327.657043
22.883710,0.581982,0.545154,744.936829,327.489441
22.919622,0.581885,0.545857,744.812256,326.983093
22.951638,0.581570,0.546282,744.409912,326.677094
22.987721,0.581626,0.546220,744.481689,326.721893
23.024298,0.581966,0.546229,744.916687,326.715363
23.054075,0.582109,0.546226,745.099609,326.717590
23.087693,0.582167,0.546297,745.173401,326.665924
23.119700,0.582111,0.546427,745.101440,326.572510
23.155628,0.581957,0.546345,744.905457,326.631439
23.187642,0.581889,0.545957,744.817322,326.910889
23.219620,0.581962,0.545250,744.910889,327.420135
23.255689,0.582052,0.544499,745.026184,327.960846
23.289997,0.582035,0.544195,745.005371,328.179749
23.320394,0.581917,0.543883,744.853271,328.404114
25.867622,0.516954,0.853180,661.701477,105.710655
25.907099,0.517149,0.853609,661.951294,105.401718
25.938383,0.517423,0.853296,662.301575,105.627174
25.967543,0.517524,0.852807,662.430542,105.979301
26.003619,0.517448,0.852127,662.333374,106.468262
