timestamp,world_index,world_index_corrected,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
0.002350,0,0,1.000000,0.562593,0.374649,111.900090,3d c++,360.059292,300.168632,96.086318,111.900090,-49.058647,4.680001,0.888363,47.000000,6.179583,-1.016480,36.613471,12.000000,1.614466,2.584749,26.116287,-0.380426,0.300102,-0.874765,2.340001,1.875596,-1.981014,424.642954,222.787280,406.407800,406.407800,90.000000
0.015697,0,0,1.000000,0.562598,0.375698,111.930533,3d c++,360.062489,299.665113,96.236943,111.930533,-48.896402,4.680189,0.888426,47.000000,6.179583,-1.016480,36.613471,12.000000,1.614056,2.562608,26.108896,-0.380461,0.298257,-0.875381,2.340094,1.873663,-1.980789,424.642954,222.787280,406.407800,406.407800,90.000000
0.034297,1,1,1.000000,0.562519,0.376604,112.030991,3d c++,360.012153,299.229962,96.419224,112.030991,-48.732416,4.683666,0.888197,47.000000,6.179583,-1.016480,36.613471,12.000000,1.611410,2.543649,26.103605,-0.380681,0.296677,-0.875822,2.341833,1.872008,-1.980817,424.642954,222.787280,406.407800,406.407800,90.000000
0.039517,1,1,1.000000,0.562747,0.376912,111.687276,3d c++,360.157964,299.082037,96.191257,111.687276,-48.747167,4.668408,0.888244,47.000000,6.179583,-1.016480,36.613471,12.000000,1.617739,2.536561,26.098459,-0.380154,0.296087,-0.876251,2.334204,1.871389,-1.980132,424.642954,222.787280,406.407800,406.407800,90.000000
0.046344,1,1,1.000000,0.562801,0.376980,111.709429,3d c++,360.192410,299.049668,96.224710,111.709429,-48.751012,4.669137,0.888378,47.000000,6.179583,-1.016480,36.613471,12.000000,1.619106,2.535102,26.097373,-0.380040,0.295965,-0.876341,2.334569,1.871262,-1.979984,424.642954,222.787280,406.407800,406.407800,90.000000
0.054332,1,1,1.000000,0.562698,0.377387,111.499717,3d c++,360.126737,298.854442,96.080679,111.499717,-48.659956,4.660195,0.888448,47.000000,6.179583,-1.016480,36.613471,12.000000,1.616456,2.526427,26.095596,-0.380261,0.295242,-0.876490,2.330098,1.870505,-1.980135,424.642954,222.787280,406.407800,406.407800,90.000000
0.062294,2,2,1.000000,0.562911,0.377489,111.878006,3d c++,360.263137,298.805348,96.441509,111.878006,-48.699775,4.675419,0.888479,47.000000,6.179583,-1.016480,36.613471,12.000000,1.621581,2.524410,26.092695,-0.379834,0.295074,-0.876731,2.337709,1.870329,-1.979624,424.642954,222.787280,406.407800,406.407800,90.000000
0.070276,2,2,0.987165,0.562598,0.378183,111.770192,3d c++,360.062688,298.472314,96.391228,111.770192,-48.505159,4.670969,0.888541,47.000000,6.179583,-1.016480,36.613471,12.000000,1.613086,2.510008,26.091542,-0.380541,0.293874,-0.876827,2.335484,1.869074,-1.980264,424.642954,222.787280,406.407800,406.407800,90.000000
0.078303,2,2,0.995538,0.562672,0.378324,111.762398,3d c++,360.110346,298.404701,96.410208,111.762398,-48.502978,4.670322,0.888645,47.000000,6.179583,-1.016480,36.613471,12.000000,1.615004,2.506951,26.089686,-0.380382,0.293619,-0.876982,2.335161,1.868807,-1.980046,424.642954,222.787280,406.407800,406.407800,90.000000
0.086310,2,2,0.995587,0.562635,0.378529,111.764026,3d c++,360.086635,298.306053,96.430783,111.764026,-48.460141,4.670276,0.888647,47.000000,6.179583,-1.016480,36.613471,12.000000,1.613923,2.502660,26.088719,-0.380472,0.293262,-0.877063,2.335138,1.868433,-1.980099,424.642954,222.787280,406.407800,406.407800,90.000000
0.094695,3,3,0.989750,0.562940,0.378390,111.610106,3d c++,360.281379,298.372666,96.321249,111.610106,-48.565738,4.663237,0.888737,47.000000,6.179583,-1.016480,36.613471,12.000000,1.622247,2.505112,26.085931,-0.379778,0.293466,-0.877295,2.331618,1.868647,-1.979336,424.642954,222.787280,406.407800,406.407800,90.000000
0.102318,3,3,1.000000,0.563061,0.378111,111.453787,3d c++,360.359312,298.506779,96.170629,111.453787,-48.644078,4.656677,0.888782,47.000000,6.179583,-1.016480,36.613471,12.000000,1.625803,2.510720,26.086270,-0.379482,0.293933,-0.877267,2.328338,1.869136,-1.979064,424.642954,222.787280,406.407800,406.407800,90.000000
0.110365,3,3,1.000000,0.563145,0.378130,111.728630,3d c++,360.412729,298.497428,96.417756,111.728630,-48.662382,4.667962,0.888924,47.000000,6.179583,-1.016480,36.613471,12.000000,1.627660,2.510487,26.085389,-0.379327,0.293914,-0.877340,2.333981,1.869115,-1.978885,424.642954,222.787280,406.407800,406.407800,90.000000
0.118997,3,3,0.955080,0.563062,0.378553,111.643329,3d c++,360.359855,298.294596,96.383620,111.643329,-48.573061,4.664171,0.889047,47.000000,6.179583,-1.016480,36.613471,12.000000,1.625378,2.501586,26.083398,-0.379517,0.293172,-0.877506,2.332086,1.868339,-1.978998,424.642954,222.787280,406.407800,406.407800,90.000000
0.130300,4,4,1.000000,0.563034,0.378451,111.721996,3d c++,360.341816,298.343481,96.435501,111.721996,-48.581225,4.667633,0.889169,47.000000,6.179583,-1.016480,36.613471,12.000000,1.624580,2.503838,26.084496,-0.379584,0.293360,-0.877415,2.333816,1.868536,-1.979100,424.642954,222.787280,406.407800,406.407800,90.000000
0.138291,4,4,0.991727,0.563151,0.378348,111.936952,3d c++,360.416931,298.392943,96.621608,111.936952,-48.628560,4.676449,0.889209,47.000000,6.179583,-1.016480,36.613471,12.000000,1.627468,2.506095,26.084002,-0.379343,0.293548,-0.877456,2.338225,1.868732,-1.978852,424.642954,222.787280,406.407800,406.407800,90.000000
0.148955,4,4,1.000000,0.563261,0.378433,111.743318,3d c++,360.486805,298.352298,96.479657,111.743318,-48.645803,4.667998,0.889313,47.000000,6.179583,-1.016480,36.613471,12.000000,1.630565,2.504006,26.081965,-0.379085,0.293374,-0.877625,2.333999,1.868550,-1.978534,424.642954,222.787280,406.407800,406.407800,90.000000
0.156705,4,4,1.000000,0.563181,0.378319,111.586041,3d c++,360.435919,298.406850,96.322397,111.586041,-48.642960,4.661719,0.889563,47.000000,6.179583,-1.016480,36.613471,12.000000,1.628710,2.506333,26.083545,-0.379239,0.293568,-0.877494,2.330859,1.868753,-1.978737,424.642954,222.787280,406.407800,406.407800,90.000000
0.166069,5,5,1.000000,0.563229,0.378150,112.107960,3d c++,360.466404,298.487958,96.754164,112.107960,-48.680258,4.683618,0.889521,47.000000,6.179583,-1.016480,36.613471,12.000000,1.629395,2.510352,26.084594,-0.379182,0.293903,-0.877406,2.341809,1.869104,-1.978718,424.642954,222.787280,406.407800,406.407800,90.000000
0.171363,5,5,0.962593,0.563178,0.378478,111.627564,3d c++,360.434056,298.330474,96.375882,111.627564,-48.616648,4.663306,0.889510,47.000000,6.179583,-1.016480,36.613471,12.000000,1.628505,2.503023,26.082526,-0.379257,0.293292,-0.877579,2.331653,1.868465,-1.978718,424.642954,222.787280,406.407800,406.407800,90.000000
0.178298,5,5,1.000000,0.563575,0.378498,112.077519,3d c++,360.688261,298.320957,96.811580,112.077519,-48.719773,4.681162,0.889570,47.000000,6.179583,-1.016480,36.613471,12.000000,1.638453,2.502621,26.078099,-0.378428,0.293258,-0.877948,2.340581,1.868430,-1.977769,424.642954,222.787280,406.407800,406.407800,90.000000
0.189922,5,5,1.000000,0.563341,0.378551,111.735928,3d c++,360.538370,298.295358,96.497036,111.735928,-48.648951,4.667377,0.889630,47.000000,6.179583,-1.016480,36.613471,12.000000,1.632653,2.501413,26.080197,-0.378911,0.293158,-0.877773,2.333689,1.868324,-1.978306,424.642954,222.787280,406.407800,406.407800,90.000000
0.204336,6,6,1.000000,0.563419,0.378715,111.814145,3d c++,360.587906,298.216882,96.592316,111.814145,-48.643677,4.670303,0.889547,47.000000,6.179583,-1.016480,36.613471,12.000000,1.634527,2.497963,26.078236,-0.378755,0.292870,-0.877936,2.335152,1.868024,-1.978088,424.642954,222.787280,406.407800,406.407800,90.000000
0.214338,6,6,1.000000,0.563907,0.378237,111.847009,3d c++,360.900634,298.446181,96.625344,111.847009,-48.853160,4.670977,0.889621,47.000000,6.179583,-1.016480,36.613471,12.000000,1.647657,2.507543,26.075781,-0.377661,0.293669,-0.878141,2.335489,1.868859,-1.976952,424.642954,222.787280,406.407800,406.407800,90.000000
