timestamp,world_index,world_index_corrected,mico_link_base_x,mico_link_base_y,mico_link_base_z,mico_link_1_x,mico_link_1_y,mico_link_1_z,mico_link_2_x,mico_link_2_y,mico_link_2_z,mico_link_3_x,mico_link_3_y,mico_link_3_z,mico_link_4_x,mico_link_4_y,mico_link_4_z,mico_link_5_x,mico_link_5_y,mico_link_5_z,mico_link_hand_x,mico_link_hand_y,mico_link_hand_z,mico_end_effector_x,mico_end_effector_y,mico_end_effector_z,mico_fork_tip_x,mico_fork_tip_y,mico_fork_tip_z
0.004181680,0,0,0.0,0.0,0.0,0.0,0.0,0.1535,-5.07035613665374e-27,2.4508538192560407e-14,0.272,0.02260119141042465,-0.06040233589233173,0.5547379422107622,0.07121127142082882,-0.16620217845205354,0.5952824354955498,0.07403220465537444,-0.23989100359930754,0.5891795030771415,0.06284959209860419,-0.27725774365898426,0.5262992811173097,0.06335758295714225,-0.283005816005144,0.357698001141175,0.07159128277690444,-0.15159764017151506,0.3544434525552967
0.016107165,0,0,0.0,0.0,0.0,0.0,0.0,0.1535,-5.07035613665374e-27,2.4508538192560407e-14,0.272,0.02260119141042465,-0.06040233589233173,0.5547379422107622,0.07121127142082882,-0.16620217845205354,0.5952824354955498,0.07403220465537444,-0.23989100359930754,0.5891795030771415,0.06284959209860419,-0.27725774365898426,0.5262992811173097,0.06335758295714225,-0.283005816005144,0.357698001141175,0.07159128277690444,-0.15159764017151506,0.3544434525552967
0.028374574,0,0,0.0,0.0,0.0,0.0,0.0,0.1535,-5.07035613665374e-27,2.4508538192560407e-14,0.272,0.02260119141042465,-0.06040233589233173,0.5547379422107622,0.07121127142082882,-0.16620217845205354,0.5952824354955498,0.07403220465537444,-0.23989100359930754,0.5891795030771415,0.06284959209860419,-0.27725774365898426,0.5262992811173097,0.06335758295714225,-0.283005816005144,0.357698001141175,0.07159128277690444,-0.15159764017151506,0.3544434525552967
0.041347399,1,1,0.0,0.0,0.0,0.0,0.0,0.1535,-5.07035613665374e-27,2.4508538192560407e-14,0.272,0.02260119141042465,-0.06040233589233173,0.5547379422107622,0.07121127142082882,-0.16620217845205354,0.5952824354955498,0.07403220465537444,-0.23989100359930754,0.5891795030771415,0.06284959209860419,-0.27725774365898426,0.5262992811173097,0.06335758295714225,-0.283005816005144,0.357698001141175,0.07159128277690444,-0.15159764017151506,0.3544434525552967
0.053160105,1,1,0.0,0.0,0.0,0.0,0.0,0.1535,-5.07035613665374e-27,2.4508538192560407e-14,0.272,0.02260119141042465,-0.06040233589233173,0.5547379422107622,0.07121127142082882,-0.16620217845205354,0.5952824354955498,0.07403220465537444,-0.23989100359930754,0.5891795030771415,0.06284959209860419,-0.27725774365898426,0.5262992811173097,0.06335758295714225,-0.283005816005144,0.357698001141175,0.07159128277690444,-0.15159764017151506,0.3544434525552967
0.064971441,2,2,0.0,0.0,0.0,0.0,0.0,0.1535,-5.07035613665374e-27,2.4508538192560407e-14,0.272,0.02260119141042465,-0.06040233589233173,0.5547379422107622,0.07121127142082882,-0.16620217845205354,0.5952824354955498,0.07403220465537444,-0.23989100359930754,0.5891795030771415,0.06284959209860419,-0.27725774365898426,0.5262992811173097,0.06335758295714225,-0.283005816005144,0.357698001141175,0.07159128277690444,-0.15159764017151506,0.3544434525552967
0.077450118,2,2,0.0,0.0,0.0,0.0,0.0,0.1535,-5.07035613665374e-27,2.4508538192560407e-14,0.272,0.02260119141042465,-0.06040233589233173,0.5547379422107622,0.07121127142082882,-0.16620217845205354,0.5952824354955498,0.07403220465537444,-0.23989100359930754,0.5891795030771415,0.06284959209860419,-0.27725774365898426,0.5262992811173097,0.06335758295714225,-0.283005816005144,0.357698001141175,0.07159128277690444,-0.15159764017151506,0.3544434525552967
0.089243421,2,2,0.0,0.0,0.0,0.0,0.0,0.1535,-5.07035613665374e-27,2.4508538192560407e-14,0.272,0.02260119141042465,-0.06040233589233173,0.5547379422107622,0.07121127142082882,-0.16620217845205354,0.5952824354955498,0.07403220465537444,-0.23989100359930754,0.5891795030771415,0.06284959209860419,-0.27725774365898426,0.5262992811173097,0.06335758295714225,-0.283005816005144,0.357698001141175,0.07159128277690444,-0.15159764017151506,0.3544434525552967
0.101285776,3,3,0.0,0.0,0.0,0.0,0.0,0.1535,-5.07035613665374e-27,2.4508538192560407e-14,0.272,0.02260119141042465,-0.06040233589233173,0.5547379422107622,0.07121127142082882,-0.16620217845205354,0.5952824354955498,0.07403220465537444,-0.23989100359930754,0.5891795030771415,0.06284959209860419,-0.27725774365898426,0.5262992811173097,0.06335758295714225,-0.283005816005144,0.357698001141175,0.07159128277690444,-0.15159764017151506,0.3544434525552967
0.112975121,3,3,0.0,0.0,0.0,0.0,0.0,0.1535,-5.07035613665374e-27,2.4508538192560407e-14,0.272,0.02260119141042465,-0.06040233589233173,0.5547379422107622,0.07121127142082882,-0.16620217845205354,0.5952824354955498,0.07403220465537444,-0.23989100359930754,0.5891795030771415,0.06284959209860419,-0.27725774365898426,0.5262992811173097,0.06335758295714225,-0.283005816005144,0.357698001141175,0.07159128277690444,-0.15159764017151506,0.3544434525552967
