timestamp,world_index,world_index_corrected,mico_joint_1_pos,mico_joint_2_pos,mico_joint_3_pos,mico_joint_4_pos,mico_joint_5_pos,mico_joint_6_pos,mico_joint_finger_1_pos,mico_joint_finger_2_pos,mico_joint_1_vel,mico_joint_2_vel,mico_joint_3_vel,mico_joint_4_vel,mico_joint_5_vel,mico_joint_6_vel,mico_joint_finger_1_vel,mico_joint_finger_2_vel,mico_joint_1_eff,mico_joint_2_eff,mico_joint_3_eff,mico_joint_4_eff,mico_joint_5_eff,mico_joint_6_eff,mico_joint_finger_1_eff,mico_joint_finger_2_eff
0.220871762,6,6,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.647456,-6.352513,4.688161,0.464988,0.162999,-0.133445,0.000000,0.000000
0.233412962,7,7,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.096882,-6.353138,5.337848,0.559896,0.075856,-0.038673,0.000000,0.000000
0.245252612,7,7,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.678662,-6.219744,4.937507,0.607941,0.090440,-0.179547,0.000000,0.000000
0.257049108,7,7,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.228168,-6.081159,4.983662,0.764991,0.234677,-0.193854,0.000000,0.000000
0.269046287,8,8,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195547,-6.295831,4.707231,0.552812,0.280211,-0.127073,0.000000,0.000000
0.280960645,8,8,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.551072,-6.244135,4.956185,0.702483,0.194142,-0.324210,0.000000,0.000000
0.293430994,8,8,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264032,-6.328578,4.836473,0.507437,0.037681,-0.116870,0.000000,0.000000
0.305203605,9,9,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.404007,-6.201101,4.739363,0.457775,0.053621,-0.067881,0.000000,0.000000
0.317096752,9,9,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.397657,-6.193125,4.613393,0.676045,-0.057361,-0.103397,0.000000,0.000000
0.328951783,10,10,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.334796,-6.118839,4.688268,0.473821,0.057695,-0.133165,0.000000,0.000000
