timestamp,world_index,world_index_corrected,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
0.092824,2,2,0.989750,0.710352,0.747754,1519230659.414795-0 1519230659.411053-1,30.151845,-24.020809,93.682745,19.891683,14.461850,-20.924157,0.084284,-0.278281,0.956795,-39.328103,14.569492,-22.201352,0.494249,-0.313026,0.811007
0.096828,3,3,0.989750,0.710464,0.747887,1519230659.414795-0 1519230659.419061-1,30.145230,-24.013825,93.600551,19.891683,14.461850,-20.924157,0.084284,-0.278281,0.956795,-39.328103,14.569492,-22.201352,0.494456,-0.313268,0.810787
0.100640,3,3,1.000000,0.710632,0.748196,1519230659.422419-0 1519230659.419061-1,30.206882,-24.070086,93.696879,19.891683,14.461850,-20.924157,0.084713,-0.278606,0.956662,-39.328103,14.569492,-22.201352,0.494456,-0.313268,0.810787
0.104612,3,3,1.000000,0.710798,0.748114,1519230659.422419-0 1519230659.427006-1,30.196435,-24.033970,93.579440,19.891683,14.461850,-20.924157,0.084713,-0.278606,0.956662,-39.328103,14.569492,-22.201352,0.494775,-0.313254,0.810598
0.108635,3,3,1.000000,0.710855,0.748077,1519230659.430465-0 1519230659.427006-1,30.217900,-24.040623,93.616726,19.891683,14.461850,-20.924157,0.084863,-0.278520,0.956674,-39.328103,14.569492,-22.201352,0.494775,-0.313254,0.810598
0.112656,3,3,1.000000,0.710915,0.747445,1519230659.430465-0 1519230659.435047-1,30.212745,-23.972078,93.582481,19.891683,14.461850,-20.924157,0.084863,-0.278520,0.956674,-39.328103,14.569492,-22.201352,0.494920,-0.312452,0.810820
0.116972,3,3,0.955080,0.710755,0.746913,1519230659.439098-0 1519230659.435047-1,30.155227,-23.898019,93.499033,19.891683,14.461850,-20.924157,0.084461,-0.277884,0.956894,-39.328103,14.569492,-22.201352,0.494920,-0.312452,0.810820
0.122479,3,3,0.955080,0.710640,0.746959,1519230659.439098-0 1519230659.446060-1,30.162423,-23.921970,93.580635,19.891683,14.461850,-20.924157,0.084461,-0.277884,0.956894,-39.328103,14.569492,-22.201352,0.494698,-0.312447,0.810957
0.128130,4,4,1.000000,0.710637,0.747111,1519230659.450400-0 1519230659.446060-1,30.160519,-23.934580,93.573474,19.891683,14.461850,-20.924157,0.084448,-0.278095,0.956834,-39.328103,14.569492,-22.201352,0.494698,-0.312447,0.810957
0.137459,4,4,1.000000,0.711011,0.746304,1519230659.450400-0 1519230659.464719-1,30.135660,-23.796417,93.317281,19.891683,14.461850,-20.924157,0.084448,-0.278095,0.956834,-39.328103,14.569492,-22.201352,0.495449,-0.311594,0.810826
0.141454,4,4,0.991727,0.711125,0.746411,1519230659.458391-0 1519230659.464719-1,30.177795,-23.825362,93.385695,19.891683,14.461850,-20.924157,0.084742,-0.278173,0.956786,-39.328103,14.569492,-22.201352,0.495449,-0.311594,0.810826
0.146787,4,4,1.000000,0.711204,0.746242,1519230659.469056-0 1519230659.464719-1,30.207741,-23.824137,93.440680,19.891683,14.461850,-20.924157,0.084950,-0.277893,0.956849,-39.328103,14.569492,-22.201352,0.495449,-0.311594,0.810826
0.149934,4,4,1.000000,0.710970,0.746210,1519230659.469056-0 1519230659.471014-1,30.222198,-23.861195,93.608635,19.891683,14.461850,-20.924157,0.084950,-0.277893,0.956849,-39.328103,14.569492,-22.201352,0.495005,-0.311416,0.811166
0.153809,4,4,1.000000,0.710933,0.746379,1519230659.476806-0 1519230659.471014-1,30.207879,-23.869635,93.580019,19.891683,14.461850,-20.924157,0.084851,-0.278147,0.956783,-39.328103,14.569492,-22.201352,0.495005,-0.311416,0.811166
0.161794,5,5,1.000000,0.711103,0.746240,1519230659.476806-0 1519230659.486984-1,30.196999,-23.827703,93.459942,19.891683,14.461850,-20.924157,0.084851,-0.278147,0.956783,-39.328103,14.569492,-22.201352,0.495336,-0.311331,0.810996
0.166476,5,5,1.000000,0.711164,0.746484,1519230659.486169-0 1519230659.486984-1,30.218821,-23.859549,93.490462,19.891683,14.461850,-20.924157,0.085004,-0.278446,0.956683,-39.328103,14.569492,-22.201352,0.495336,-0.311331,0.810996
0.169123,5,5,0.962593,0.711065,0.746034,1519230659.491463-0 1519230659.486984-1,30.183328,-23.803083,93.442184,19.891683,14.461850,-20.924157,0.084756,-0.277887,0.956867,-39.328103,14.569492,-22.201352,0.495336,-0.311331,0.810996
0.171339,5,5,0.962593,0.710730,0.746104,1519230659.491463-0 1519230659.491415-1,30.204254,-23.866865,93.681207,19.891683,14.461850,-20.924157,0.084756,-0.277887,0.956867,-39.328103,14.569492,-22.201352,0.494694,-0.311230,0.811427
