timestamp,world_index,world_index_corrected,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
-3.295569,0,0,1.000000,0.271373,0.549611,122.546761,3d c++,173.678954,216.186563,71.468075,122.546761,22.744307,5.130023,0.791203,23.000000,1.074755,2.350308,34.937585,12.000000,-6.234522,-1.049111,26.048355,-0.609106,-0.283285,-0.740769,2.565012,1.283579,-2.258965,339.072522,281.708413,425.902361,425.902361,90.000000
-3.287585,0,0,1.000000,0.271453,0.549784,122.568772,3d c++,173.729819,216.103523,71.491536,122.568772,22.774535,5.130854,0.791412,23.000000,1.074755,2.350308,34.937585,12.000000,-6.232284,-1.052641,26.047865,-0.608920,-0.283579,-0.740810,2.565427,1.283272,-2.258788,339.072522,281.708413,425.902361,425.902361,90.000000
-3.279560,0,0,1.000000,0.271348,0.549540,122.704934,3d c++,173.662509,216.220917,71.554688,122.704934,22.732554,5.136673,0.791652,23.000000,1.074755,2.350308,34.937585,12.000000,-6.235518,-1.047789,26.048668,-0.609189,-0.283175,-0.740743,2.568337,1.283694,-2.259049,339.072522,281.708413,425.902361,425.902361,90.000000
-3.271600,0,0,1.000000,0.271161,0.549269,122.632573,3d c++,173.542852,216.350646,71.469005,122.632573,22.680494,5.134118,0.791943,23.000000,1.074755,2.350308,34.937585,12.000000,-6.241044,-1.042299,26.051117,-0.609650,-0.282717,-0.740539,2.567059,1.284171,-2.259555,339.072522,281.708413,425.902361,425.902361,90.000000
-3.263590,0,0,1.000000,0.271013,0.549144,122.725264,3d c++,173.448015,216.410857,71.472242,122.725264,22.651803,5.138573,0.792214,23.000000,1.074755,2.350308,34.937585,12.000000,-6.245895,-1.039917,26.054204,-0.610054,-0.282519,-0.740282,2.569286,1.284377,-2.260051,339.072522,281.708413,425.902361,425.902361,90.000000
-3.255570,0,0,1.000000,0.271044,0.548948,122.619203,3d c++,173.468254,216.504772,71.454188,122.619203,22.626827,5.133568,0.792273,23.000000,1.074755,2.350308,34.937585,12.000000,-6.244219,-1.035742,26.051232,-0.609915,-0.282171,-0.740529,2.566784,1.284740,-2.259774,339.072522,281.708413,425.902361,425.902361,90.000000
-3.247576,0,0,1.000000,0.270915,0.548848,122.734023,3d c++,173.385827,216.553139,71.474861,122.734023,22.603101,5.138897,0.792075,23.000000,1.074755,2.350308,34.937585,12.000000,-6.248518,-1.033872,26.054061,-0.610273,-0.282015,-0.740294,2.569448,1.284903,-2.260219,339.072522,281.708413,425.902361,425.902361,90.000000
-3.239586,0,0,1.000000,0.270866,0.548975,122.706972,3d c++,173.354038,216.491861,71.420218,122.706972,22.617070,5.138272,0.792167,23.000000,1.074755,2.350308,34.937585,12.000000,-6.250404,-1.036540,26.056633,-0.610430,-0.282237,-0.740079,2.569136,1.284671,-2.260487,339.072522,281.708413,425.902361,425.902361,90.000000
-3.231608,0,0,1.000000,0.270488,0.548635,122.923116,3d c++,173.112081,216.655149,71.418959,122.923116,22.541191,5.148756,0.792587,23.000000,1.074755,2.350308,34.937585,12.000000,-6.262716,-1.030024,26.064317,-0.611456,-0.281694,-0.739439,2.574378,1.285237,-2.261737,339.072522,281.708413,425.902361,425.902361,90.000000
-3.219620,0,0,0.990000,0.267736,0.548152,122.879693,3d c++,171.351141,216.887080,70.219817,122.879693,22.267297,5.161158,0.792956,23.000000,1.074755,2.350308,34.937585,12.000000,-6.354134,-1.022512,26.137830,-0.619074,-0.281068,-0.733313,2.580579,1.285889,-2.271923,339.072522,281.708413,425.902361,425.902361,90.000000
